WGT,RACE,NETWORTH
   49.8307207900,1, 135544000.00
   50.6434705540,1, 136019000.00
   51.0052042890,1, 133907000.00
   52.0094931020,1, 134414000.00
   50.1737785410,1, 134447000.00
 8940.2660336000,1,       360.00
 8905.7085273000,1,        90.00
 8978.8644268000,1,        20.00
 8802.4911962000,1,        10.00
 8954.7306381000,1,       180.00
 1555.9130189000,3,    225570.00
 1571.6050318000,3,    225570.00
 1575.4753312000,3,    225570.00
 1578.1644846000,3,    225570.00
 1577.2930654000,3,    225570.00
15647.4276510000,1,    316100.00
14856.3787810000,1,    354100.00
14953.4226890000,1,    324100.00
15128.0611810000,1,    336100.00
14789.7877850000,1,    315200.00
 6551.0870376000,1,    917900.00
 6572.9978133000,1,    841700.00
 7078.4432572000,1,    552500.00
 6538.0436510000,1,   1450100.00
 7186.1749880000,1,    760500.00
16298.2936940000,1,     84200.00
15709.9325150000,1,    190000.00
15962.7244330000,1,    111100.00
15528.9382720000,1,     79530.00
15312.0475670000,1,     88400.00
  911.3353578400,1,   7576000.00
  939.8027738900,1,   7575000.00
  975.0747539300,1,   7575000.00
  939.1690442500,1,   7575000.00
  928.4141879700,1,   7574000.00
 1763.7725483000,2,    -19800.00
 1747.8751633000,2,    -19800.00
 1746.0408204000,2,    -19800.00
 1777.4348654000,2,    -19900.00
 1742.3802675000,2,    -19800.00
 3036.2653185000,2,    318560.00
 3131.1483488000,2,    318560.00
 3035.2637788000,2,    318560.00
 3105.9317132000,2,    319560.00
 3059.0167959000,2,    317560.00
   42.7333832700,1,  16585200.00
   44.0512042690,1,  16909000.00
   46.8911886820,1,  19089500.00
   44.2250226550,1,  17701500.00
   42.7771408850,1,  16760000.00
  428.1858753900,1,   3794500.00
  446.1425958600,1,   3794500.00
  463.8034969500,1,   3794500.00
  447.1408471800,1,   3794500.00
  435.8779471700,1,   3794500.00
 3163.1335555000,1,    574460.00
 3129.3778907000,1,    587550.00
 3233.2528486000,1,    580360.00
 3234.2566799000,1,    600370.00
 3379.0299327000,1,    565730.00
   48.0242768950,1, 173333000.00
   47.6049257120,1, 163362000.00
   47.9779790990,1, 157947600.00
   48.9507759750,1, 119981400.00
   48.3081432530,1, 176387000.00
 1917.6477173000,2,    -43599.00
 1909.6735157000,2,    -38599.00
 1882.1922964000,2,    -35599.00
 1937.1855079000,2,    -39599.00
 1886.0297040000,2,    -46599.00
   66.0506858580,1,  60918000.00
   65.3924302580,1,  56419000.00
   67.2569341380,1,  68417000.00
   67.1243058700,1,  56418000.00
   65.4107522820,1,  56418000.00
12052.2238680000,1,    100000.00
11621.0862710000,1,    101000.00
11507.2694990000,1,    100000.00
11677.2836330000,1,    100000.00
11433.1968930000,1,    101000.00
15110.8813450000,1,    239100.00
14570.3280720000,1,    239900.00
14427.6264620000,1,    243900.00
14640.7874060000,1,    263500.00
14334.7554400000,1,    238800.00
 1727.7614505000,1,   5958800.00
 1840.9559707000,1,   5891200.00
 1920.4385665000,1,   5946800.00
 1846.0848205000,1,   6343000.00
 1740.0631255000,1,   6203300.00
  429.4818672400,1,  14985000.00
  441.6918326100,1,  15005000.00
  470.8125573800,1,  14912000.00
  443.3780193200,1,  14725000.00
  429.3407392300,1,  14869000.00
 9527.3595910000,1,     85621.00
 9541.4269265000,1,     85621.00
 9520.3366062000,1,     85621.00
 9539.8900305000,1,     86621.00
 9524.0064278000,1,     86621.00
 4522.8174433000,3,    136000.00
